ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Ancho (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
446,variable,,"AJONJOLI GARAPIÑADO",1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Semillas,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-8.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/AJONJOLI-GARAPINADO.png",,,,,,,,,0,GRAMOS,"200 gramos, 1 kg",1,0
447,variation,7.50E+12,"AJONJOLI GARAPIÑADO - 200 gramos",1,0,visible,,,,,taxable,parent,0,0,,0,0,200,,,,0,,,25,,,,,,,id:446,,,,,,1,GRAMOS,"200 gramos",,0
448,variation,7.50305E+12,"AJONJOLI GARAPIÑADO - 1 kg",1,0,visible,,,,,taxable,parent,1,2,,0,0,,,,,0,,,110,,,,,,,id:446,,,,,,2,GRAMOS,"1 kg",,0
454,variable,,"ALMENDRA CONFITADA",1,0,visible,,,,,taxable,,1,10,,0,0,,,,,1,,,,Dulces,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/77.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/ALMENDRA-CONFITADA.png",,,,,,,,,0,GRAMOS,"200 gramos, 1 kg",1,0
455,variation,7.50302E+12,"ALMENDRA CONFITADA - 200 gramos",1,0,visible,,,,,taxable,parent,1,3,,0,0,,,,,0,,,30,,,,,,,id:454,,,,,,1,GRAMOS,"200 gramos",,0
456,variation,07503050663490,"ALMENDRA CONFITADA - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,120,,,,,,,id:454,,,,,,2,GRAMOS,"1 kg",,0
461,variable,,"ALMENDRA ENTERA",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,0,,,,Nueces,,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/85.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/ALMENDRA-ENTERA.png",,,,,,,,,0,GRAMOS,"200 gramos, 1 kg",1,0
462,variation,07503018231662,"ALMENDRA ENTERA - 200 gramos",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,60,,,,,,,id:461,,,,,,1,GRAMOS,"200 gramos",,0
463,variation,07503050663506,"ALMENDRA ENTERA - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,240,,,,,,,id:461,,,,,,2,GRAMOS,"1 kg",,0
468,variable,,"ALMENDRA FILETEADA",1,0,visible,,,,,taxable,,1,8,,0,0,,,,,1,,,,Nueces,,,http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-5-1.png,,,,,,,,,0,GRAMOS,"200 gramos, 1 kg",1,0
469,variation,07503018231679,"ALMENDRA FILETEADA - 200 gramos",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,65,,,,,,,id:468,,,,,,1,GRAMOS,"200 gramos",,0
470,variation,07503050663513,"ALMENDRA FILETEADA - 1 kg",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,260,,,,,,,id:468,,,,,,2,GRAMOS,"1 kg",,0
475,variable,,"ARANDANO NATURAL",1,0,visible,,,,,taxable,,1,7,,0,0,,,,,1,,,,"Frutos secos",,,"http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/Delicias-del-campo-prodcutos-11.png, http://lasdeliciasdelcampo.com/wp-content/uploads/2024/02/ARANDANO-NATURAL.png",,,,,,,,,0,GRAMOS,"200 gramos, 1 kg",1,0
476,variation,07503050663100,"ARANDANO NATURAL - 200 gramos",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,35,,,,,,,id:475,,,,,,1,GRAMOS,"200 gramos",,0
